text,label
-,1
0.5 miles,1
20 to 30,1
4 feet,1
40,2
40 feet,1
5.32 miles,1
Andy,16
Any minute,1
Any minute now,2
Astro-boy,1
Benson,9
Billy,2
Bo,48
Bo Peep,4
Bo Peep!,1
Bo Peep?,1
Bobby,1
Bonnie,69
Boxing Day,1
Bullseye,2
Bunny,7
Buttercup,1
Buzz,26
Buzz Lightyear,3
Caboom,7
Canada,5
Canuck,1
Carl,1
Christmas,1
Combat Carl,2
Combat Carl's,1
Couple years,1
Cowboy,2
Dad,1
Dolly,2
Doug,1
Ducky,3
Duke,18
Duke Caboom,6
First,1
Five,1
Fluffy,1
Forky,54
Four,1
Francis,1
Gabby,15
Gabby Gabby,7
Giggle,2
Giggle McDimples,2
Goat,1
Golly bob howdy,1
Grandma,4
Gruff,2
Gus,1
Hamm,2
Harmony,5
Harry,1
Jeremiah,1
Jessie,11
Just a second,1
Karen,1
Lamb Chops,1
Late '50s,1
LeBron,1
Lefty,1
Lightyear,2
Magic 8-Ball,1
Main Street,1
Mini,1
Molly,9
Mom,2
One,2
Peep,2
Pet Patrol,1
Potato Head,1
Present and Explain,1
Pricklepants,2
R.C.,1
Rainbow Connection,1
Rejean,9
Rex,3
Roger,1
Second Chance Antiques,3
Seven,1
Seven fantastic years,1
Slink,1
Slinky,1
Star Command,1
Three,2
Three years,2
Thumper,1
Tinny,1
Two,1
Two days,1
Wendy,2
Woody,79
a good day,1
a good night,1
a great day,1
a minute,2
a sec,1
a second,2
all day,1
all night,1
another week,1
any second,1
each day,1
each morning,1
each night,1
early morning,1
every day,2
every night,1
first,9
half,1
just one,1
later,1
miles,1
night,1
one,6
one second,1
only four,1
only one,1
second,1
six,2
ten,1
the Great White North,1
the days,1
the first day,1
the morning,1
the next day,1
the night,1
the years,1
third,1
this week,1
three,2
today,3
tomorrow,2
two,5
years,2
